sk_municipio,sk_tempo,sk_rede,despesa_liquidada_educacao,desp_liq_fundamental,desp_liq_infantil,despesa_empenhada_educacao,desp_emp_fundamental,desp_emp_infantil,mat_creche,mat_pre_escola,mat_anos_iniciais,mat_anos_finais,mat_especial_classes_comuns,docentes_iniciais,docentes_finais,turmas_iniciais,turmas_finais,escolas_creche,escolas_pre_escola,escolas_iniciais,escolas_finais,ideb_iniciais,ideb_meta_iniciais,rendimento_iniciais,saeb_mat_iniciais,saeb_lp_iniciais,saeb_nota_iniciais,ideb_finais,ideb_meta_finais,rendimento_finais,saeb_mat_finais,saeb_lp_finais,saeb_nota_finais,inse_score,inse_classificacao,qtd_alunos_inse
3516606,2017,2,,,,,,,0,0,0,216,0,0,0,0,0,0,0,0,1,,6.3,,,,,4.6,5.3,0.934781,242.11,255.99,4.968333,,,
3516606,2017,3,,,,,,,122,157,364,0,10,21,0,18,0,1,1,1,0,6.2,6.9,0.994898,232.88,211.58,6.255237,,,,,,,,,
3516705,2017,2,,,,,,,0,0,0,1626,0,0,0,0,0,0,0,0,6,,6.6,,,,,4.9,5.4,0.982415,248.36,253.19,5.025833,,,
3516705,2017,3,29224684.95,17431282.94,6851623.48,29726455.49,17545290.55,7118928.94,715,900,2301,0,40,164,0,102,0,18,10,9,0,6.1,6.3,0.942781,232.36,222.2,6.438404,,,,,,,,,
3517703,2017,2,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,3.7,,,,,,,
3517703,2017,3,24120358.09,16797770.8,6249692.45,24252210.64,16912674.92,6263701.16,263,304,1239,1104,92,80,52,67,46,6,5,6,2,6.5,6.0,0.989074,239.19,220.91,6.545293,4.3,5.2,0.917986,244.43,237.16,4.693167,,,
3525300,2017,2,,,,,,,0,0,0,4211,0,0,0,0,0,0,0,0,13,,6.0,,,,,4.8,5.4,0.928386,251.34,256.06,5.123333,,,
3525300,2017,3,94320721.46,51607311.29,35275834.98,94417861.1,51610111.29,35301528.98,1293,2260,6551,614,353,312,54,275,34,30,26,19,1,6.4,6.4,0.941081,240.87,233.58,6.807718,5.3,5.4,0.921326,270.24,273.32,5.726,,,
3526001,2017,2,,,,,,,0,0,0,847,0,0,0,0,0,0,0,0,2,,,,,,,5.9,5.8,0.956888,288.82,279.0,6.130333,,,
3526001,2017,3,,,,,,,531,485,1133,0,23,64,0,50,0,4,7,3,0,7.7,6.9,0.998195,276.58,244.92,7.695388,,,,,,,,,
3527108,2017,2,,,,,,,0,0,2622,2627,0,0,0,0,0,0,0,9,10,6.5,6.4,0.977131,240.94,225.68,6.665417,4.5,5.4,0.899529,249.3,253.67,5.0495,,,
3527108,2017,3,46269025.32,0.0,0.0,48572963.83,0.0,0.0,959,1499,829,0,87,58,16,35,5,12,9,5,0,6.2,5.8,0.965197,233.15,220.37,6.420207,,,,,,,,,
3527702,2017,2,,,,,,,0,0,0,214,0,0,0,0,0,0,0,0,1,,,,,,,5.0,5.9,0.928556,263.83,259.9,5.3955,,,
3527702,2017,3,5172229.0,3233500.62,1489149.09,5173735.85,3234659.05,1489149.09,170,125,341,0,4,19,0,17,0,1,1,1,0,7.7,5.6,0.993221,282.01,243.37,7.770832,,,,,,,,,
3529005,2017,2,,,,,,,18,0,2847,6999,0,0,0,0,0,1,0,12,28,7.4,6.9,0.991128,264.29,243.79,7.4403,5.0,5.8,0.974315,254.89,251.29,5.103,,,
3529005,2017,3,154255863.86,56855197.74,66319419.7,156124898.75,57158428.08,67328464.28,4863,4818,7960,0,252,387,3,344,2,36,28,19,0,7.2,6.8,0.992122,257.83,238.86,7.227382,,,,,,,,,
3533700,2017,2,,,,,,,0,0,0,201,0,0,0,0,0,0,0,0,1,,5.9,,,,,5.2,5.8,0.992589,259.88,257.28,5.286,,,
3533700,2017,3,,,,,,,125,120,324,0,1,17,0,14,0,1,1,1,0,7.2,6.1,0.984945,262.21,236.55,7.268969,,,,,,,,,
3534005,2017,2,,,,,,,0,0,0,247,0,0,0,0,0,0,0,0,1,,,,,,,4.6,5.9,0.966914,241.03,245.68,4.7785,,,
3534005,2017,3,4810846.63,3436963.2,1301876.07,4810846.63,3436963.2,1301876.07,82,132,326,0,9,24,0,18,0,1,1,1,0,6.5,6.5,0.993945,238.44,222.22,6.554798,,,,,,,,,
3534708,2017,2,,,,,,,0,0,595,2860,0,0,0,0,0,0,0,4,13,6.6,5.8,0.976962,245.99,225.68,6.761791,5.2,5.5,0.951521,264.4,264.95,5.489167,,,
3534708,2017,3,78224526.4,66281271.47,10391137.88,78897085.08,66740890.01,10512662.94,1314,2254,5279,1526,248,359,96,236,63,17,24,12,3,6.8,6.3,0.963592,253.37,233.91,7.052267,5.4,5.8,0.926724,277.54,272.08,5.827,,,
3540002,2017,2,,,,,,,0,0,0,679,0,0,0,0,0,0,0,0,2,,,,,,,4.8,5.9,0.951676,251.38,249.2,5.009667,,,
3540002,2017,3,17648063.06,9250498.36,6978378.13,17648063.06,9250498.36,6978378.13,353,415,988,0,27,63,0,52,0,3,3,3,0,7.4,6.7,1.0,260.63,242.95,7.35518,,,,,,,,,
3541406,2017,2,,,,,,,18,2,1,7648,0,0,0,0,0,1,1,1,26,,6.7,,,,,4.8,5.4,0.901123,258.78,258.22,5.283333,,,
